ColumnHeader,Depth,Species,Irrigation,Block
P3_D110,D110,Lucerne,Dry,1
P13_D110,D110,Lucerne,Dry,2
P20_D110,D110,Lucerne,Dry,3
P30_D110,D110,Lucerne,Dry,4
P6_D110,D110,Lucerne,Mid,1
P14_D110,D110,Lucerne,Mid,2
P22_D110,D110,Lucerne,Mid,3
P28_D110,D110,Lucerne,Mid,4
P4_D110,D110,Lucerne,Low,1
P11_D110,D110,Lucerne,Low,2
P18_D110,D110,Lucerne,Low,3
P27_D110,D110,Lucerne,Low,4
P7_D110,D110,Lucerne,High,1
P15_D110,D110,Lucerne,High,2
P19_D110,D110,Lucerne,High,3
P26_D110,D110,Lucerne,High,4
P2_D110,D110,Ryegrass,Dry,1
P10_D110,D110,Ryegrass,Dry,2
P24_D110,D110,Ryegrass,Dry,3
P31_D110,D110,Ryegrass,Dry,4
P1_D110,D110,Ryegrass,Mid,1
P16_D110,D110,Ryegrass,Mid,2
P17_D110,D110,Ryegrass,Mid,3
P29_D110,D110,Ryegrass,Mid,4
P5_D110,D110,Ryegrass,Low,1
P12_D110,D110,Ryegrass,Low,2
P23_D110,D110,Ryegrass,Low,3
P32_D110,D110,Ryegrass,Low,4
P8_D110,D110,Ryegrass,High,1
P9_D110,D110,Ryegrass,High,2
P21_D110,D110,Ryegrass,High,3
P25_D110,D110,Ryegrass,High,4
P3_D130,D130,Lucerne,Dry,1
P13_D130,D130,Lucerne,Dry,2
P20_D130,D130,Lucerne,Dry,3
P30_D130,D130,Lucerne,Dry,4
P6_D130,D130,Lucerne,Mid,1
P14_D130,D130,Lucerne,Mid,2
P22_D130,D130,Lucerne,Mid,3
P28_D130,D130,Lucerne,Mid,4
P4_D130,D130,Lucerne,Low,1
P11_D130,D130,Lucerne,Low,2
P18_D130,D130,Lucerne,Low,3
P27_D130,D130,Lucerne,Low,4
P7_D130,D130,Lucerne,High,1
P15_D130,D130,Lucerne,High,2
P19_D130,D130,Lucerne,High,3
P26_D130,D130,Lucerne,High,4
P2_D130,D130,Ryegrass,Dry,1
P10_D130,D130,Ryegrass,Dry,2
P24_D130,D130,Ryegrass,Dry,3
P31_D130,D130,Ryegrass,Dry,4
P1_D130,D130,Ryegrass,Mid,1
P16_D130,D130,Ryegrass,Mid,2
P17_D130,D130,Ryegrass,Mid,3
P29_D130,D130,Ryegrass,Mid,4
P5_D130,D130,Ryegrass,Low,1
P12_D130,D130,Ryegrass,Low,2
P23_D130,D130,Ryegrass,Low,3
P32_D130,D130,Ryegrass,Low,4
P8_D130,D130,Ryegrass,High,1
P9_D130,D130,Ryegrass,High,2
P21_D130,D130,Ryegrass,High,3
P25_D130,D130,Ryegrass,High,4
P3_D150,D150,Lucerne,Dry,1
P13_D150,D150,Lucerne,Dry,2
P20_D150,D150,Lucerne,Dry,3
P30_D150,D150,Lucerne,Dry,4
P6_D150,D150,Lucerne,Mid,1
P14_D150,D150,Lucerne,Mid,2
P22_D150,D150,Lucerne,Mid,3
P28_D150,D150,Lucerne,Mid,4
P4_D150,D150,Lucerne,Low,1
P11_D150,D150,Lucerne,Low,2
P18_D150,D150,Lucerne,Low,3
P27_D150,D150,Lucerne,Low,4
P7_D150,D150,Lucerne,High,1
P15_D150,D150,Lucerne,High,2
P19_D150,D150,Lucerne,High,3
P26_D150,D150,Lucerne,High,4
P2_D150,D150,Ryegrass,Dry,1
P10_D150,D150,Ryegrass,Dry,2
P24_D150,D150,Ryegrass,Dry,3
P31_D150,D150,Ryegrass,Dry,4
P1_D150,D150,Ryegrass,Mid,1
P16_D150,D150,Ryegrass,Mid,2
P17_D150,D150,Ryegrass,Mid,3
P29_D150,D150,Ryegrass,Mid,4
P5_D150,D150,Ryegrass,Low,1
P12_D150,D150,Ryegrass,Low,2
P23_D150,D150,Ryegrass,Low,3
P32_D150,D150,Ryegrass,Low,4
P8_D150,D150,Ryegrass,High,1
P9_D150,D150,Ryegrass,High,2
P21_D150,D150,Ryegrass,High,3
P25_D150,D150,Ryegrass,High,4
P3_D30,D30,Lucerne,Dry,1
P13_D30,D30,Lucerne,Dry,2
P20_D30,D30,Lucerne,Dry,3
P30_D30,D30,Lucerne,Dry,4
P6_D30,D30,Lucerne,Mid,1
P14_D30,D30,Lucerne,Mid,2
P22_D30,D30,Lucerne,Mid,3
P28_D30,D30,Lucerne,Mid,4
P4_D30,D30,Lucerne,Low,1
P11_D30,D30,Lucerne,Low,2
P18_D30,D30,Lucerne,Low,3
P27_D30,D30,Lucerne,Low,4
P7_D30,D30,Lucerne,High,1
P15_D30,D30,Lucerne,High,2
P19_D30,D30,Lucerne,High,3
P26_D30,D30,Lucerne,High,4
P2_D30,D30,Ryegrass,Dry,1
P10_D30,D30,Ryegrass,Dry,2
P24_D30,D30,Ryegrass,Dry,3
P31_D30,D30,Ryegrass,Dry,4
P1_D30,D30,Ryegrass,Mid,1
P16_D30,D30,Ryegrass,Mid,2
P17_D30,D30,Ryegrass,Mid,3
P29_D30,D30,Ryegrass,Mid,4
P5_D30,D30,Ryegrass,Low,1
P12_D30,D30,Ryegrass,Low,2
P23_D30,D30,Ryegrass,Low,3
P32_D30,D30,Ryegrass,Low,4
P8_D30,D30,Ryegrass,High,1
P9_D30,D30,Ryegrass,High,2
P21_D30,D30,Ryegrass,High,3
P25_D30,D30,Ryegrass,High,4
P3_D50,D50,Lucerne,Dry,1
P13_D50,D50,Lucerne,Dry,2
P20_D50,D50,Lucerne,Dry,3
P30_D50,D50,Lucerne,Dry,4
P6_D50,D50,Lucerne,Mid,1
P14_D50,D50,Lucerne,Mid,2
P22_D50,D50,Lucerne,Mid,3
P28_D50,D50,Lucerne,Mid,4
P4_D50,D50,Lucerne,Low,1
P11_D50,D50,Lucerne,Low,2
P18_D50,D50,Lucerne,Low,3
P27_D50,D50,Lucerne,Low,4
P7_D50,D50,Lucerne,High,1
P15_D50,D50,Lucerne,High,2
P19_D50,D50,Lucerne,High,3
P26_D50,D50,Lucerne,High,4
P2_D50,D50,Ryegrass,Dry,1
P10_D50,D50,Ryegrass,Dry,2
P24_D50,D50,Ryegrass,Dry,3
P31_D50,D50,Ryegrass,Dry,4
P1_D50,D50,Ryegrass,Mid,1
P16_D50,D50,Ryegrass,Mid,2
P17_D50,D50,Ryegrass,Mid,3
P29_D50,D50,Ryegrass,Mid,4
P5_D50,D50,Ryegrass,Low,1
P12_D50,D50,Ryegrass,Low,2
P23_D50,D50,Ryegrass,Low,3
P32_D50,D50,Ryegrass,Low,4
P8_D50,D50,Ryegrass,High,1
P9_D50,D50,Ryegrass,High,2
P21_D50,D50,Ryegrass,High,3
P25_D50,D50,Ryegrass,High,4
P3_D70,D70,Lucerne,Dry,1
P13_D70,D70,Lucerne,Dry,2
P20_D70,D70,Lucerne,Dry,3
P30_D70,D70,Lucerne,Dry,4
P6_D70,D70,Lucerne,Mid,1
P14_D70,D70,Lucerne,Mid,2
P22_D70,D70,Lucerne,Mid,3
P28_D70,D70,Lucerne,Mid,4
P4_D70,D70,Lucerne,Low,1
P11_D70,D70,Lucerne,Low,2
P18_D70,D70,Lucerne,Low,3
P27_D70,D70,Lucerne,Low,4
P7_D70,D70,Lucerne,High,1
P15_D70,D70,Lucerne,High,2
P19_D70,D70,Lucerne,High,3
P26_D70,D70,Lucerne,High,4
P2_D70,D70,Ryegrass,Dry,1
P10_D70,D70,Ryegrass,Dry,2
P24_D70,D70,Ryegrass,Dry,3
P31_D70,D70,Ryegrass,Dry,4
P1_D70,D70,Ryegrass,Mid,1
P16_D70,D70,Ryegrass,Mid,2
P17_D70,D70,Ryegrass,Mid,3
P29_D70,D70,Ryegrass,Mid,4
P5_D70,D70,Ryegrass,Low,1
P12_D70,D70,Ryegrass,Low,2
P23_D70,D70,Ryegrass,Low,3
P32_D70,D70,Ryegrass,Low,4
P8_D70,D70,Ryegrass,High,1
P9_D70,D70,Ryegrass,High,2
P21_D70,D70,Ryegrass,High,3
P25_D70,D70,Ryegrass,High,4
P3_D90,D90,Lucerne,Dry,1
P13_D90,D90,Lucerne,Dry,2
P20_D90,D90,Lucerne,Dry,3
P30_D90,D90,Lucerne,Dry,4
P6_D90,D90,Lucerne,Mid,1
P14_D90,D90,Lucerne,Mid,2
P22_D90,D90,Lucerne,Mid,3
P28_D90,D90,Lucerne,Mid,4
P4_D90,D90,Lucerne,Low,1
P11_D90,D90,Lucerne,Low,2
P18_D90,D90,Lucerne,Low,3
P27_D90,D90,Lucerne,Low,4
P7_D90,D90,Lucerne,High,1
P15_D90,D90,Lucerne,High,2
P19_D90,D90,Lucerne,High,3
P26_D90,D90,Lucerne,High,4
P2_D90,D90,Ryegrass,Dry,1
P10_D90,D90,Ryegrass,Dry,2
P24_D90,D90,Ryegrass,Dry,3
P31_D90,D90,Ryegrass,Dry,4
P1_D90,D90,Ryegrass,Mid,1
P16_D90,D90,Ryegrass,Mid,2
P17_D90,D90,Ryegrass,Mid,3
P29_D90,D90,Ryegrass,Mid,4
P5_D90,D90,Ryegrass,Low,1
P12_D90,D90,Ryegrass,Low,2
P23_D90,D90,Ryegrass,Low,3
P32_D90,D90,Ryegrass,Low,4
P8_D90,D90,Ryegrass,High,1
P9_D90,D90,Ryegrass,High,2
P21_D90,D90,Ryegrass,High,3
P25_D90,D90,Ryegrass,High,4
